"Usedphone_financial","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Used mobile phone for financial transaction","Never attended","Rural","Western North","Female",508,1736,2611,3538,3862,3580,2961,2476,1567,1146,553
"Used mobile phone for financial transaction","Never attended","Rural","Ahafo","Male",164,583,859,1264,1525,1358,1191,966,666,486,310
"Used mobile phone for financial transaction","Never attended","Rural","Ahafo","Female",191,669,974,1413,1579,1511,1295,1163,828,609,345
"Used mobile phone for financial transaction","Never attended","Rural","Bono","Male",303,1075,1444,1767,2101,1967,1785,1413,1105,830,524
"Used mobile phone for financial transaction","Never attended","Rural","Bono","Female",339,1070,1581,2149,2550,2501,2288,2070,1715,1409,807
"Used mobile phone for financial transaction","Never attended","Rural","Bono East","Male",864,2105,2587,3149,3227,2977,2524,1967,1347,1019,574
"Used mobile phone for financial transaction","Never attended","Rural","Bono East","Female",723,1969,2533,2912,3123,2939,2351,2016,1339,1065,568
"Used mobile phone for financial transaction","Never attended","Rural","Oti","Male",699,1496,2014,2350,2303,2181,1702,1356,910,735,430
"Used mobile phone for financial transaction","Never attended","Rural","Oti","Female",532,1389,1684,2394,2352,2160,1808,1475,1043,776,499
"Used mobile phone for financial transaction","Never attended","Rural","Northern","Male",2816,6531,8189,9326,7600,7720,5077,4188,2310,2386,1188
"Used mobile phone for financial transaction","Never attended","Rural","Northern","Female",2503,6460,7169,7674,5984,5254,3234,2472,1275,1261,560
"Used mobile phone for financial transaction","Never attended","Rural","Savannah","Male",1166,2658,3272,3784,2857,2640,1778,1404,730,752,404
"Used mobile phone for financial transaction","Never attended","Rural","Savannah","Female",907,2339,2390,2447,1984,1686,1084,900,472,425,223
"Used mobile phone for financial transaction","Never attended","Rural","North East","Male",1441,2729,3135,3637,2951,2656,1837,1477,838,804,443
"Used mobile phone for financial transaction","Never attended","Rural","North East","Female",1358,2804,2937,3203,2494,2280,1448,1229,716,655,370
"Used mobile phone for financial transaction","Never attended","Rural","Upper East","Male",2022,4344,5708,7013,7111,6460,5375,4379,2995,2571,1642
"Used mobile phone for financial transaction","Never attended","Rural","Upper East","Female",1845,4952,6695,8520,8759,9131,7457,6435,4307,3692,2178
"Used mobile phone for financial transaction","Never attended","Rural","Upper West","Male",1355,3192,4065,4772,4428,4004,3119,2378,1658,1322,815
"Used mobile phone for financial transaction","Never attended","Rural","Upper West","Female",1004,2750,3322,3972,3883,3700,2929,2532,1707,1482,821
"Used mobile phone for financial transaction","Never attended","Urban","Ghana","Male",8584,25818,39015,50903,52245,50192,41966,32345,20658,17866,10643
"Used mobile phone for financial transaction","Never attended","Urban","Ghana","Female",10911,38892,62172,82807,89663,84907,75087,63473,44921,38676,24246
"Used mobile phone for financial transaction","Never attended","Urban","Western","Male",444,1442,2283,2734,2736,2419,2102,1472,952,788,448
"Used mobile phone for financial transaction","Never attended","Urban","Western","Female",444,1724,2839,3792,4505,4321,4030,3383,2544,1947,1195
"Used mobile phone for financial transaction","Never attended","Urban","Central","Male",624,1774,2759,3521,4312,4121,3957,2770,1905,1556,954
"Used mobile phone for financial transaction","Never attended","Urban","Central","Female",580,2309,4091,5961,7707,7565,7296,6327,4702,4178,2738
"Used mobile phone for financial transaction","Never attended","Urban","Greater Accra","Male",1368,5492,9033,11272,10995,9962,7889,5615,3557,2784,1674
"Used mobile phone for financial transaction","Never attended","Urban","Greater Accra","Female",2263,8299,13959,19059,21495,19100,17051,13597,9593,8033,4919
"Used mobile phone for financial transaction","Never attended","Urban","Volta","Male",181,683,950,1319,1369,1229,1047,852,540,462,316
"Used mobile phone for financial transaction","Never attended","Urban","Volta","Female",219,849,1571,2439,2976,3014,3049,2824,2227,2024,1326
"Used mobile phone for financial transaction","Never attended","Urban","Eastern","Male",397,1248,1860,2494,2750,2585,2272,1882,1238,1105,721
"Used mobile phone for financial transaction","Never attended","Urban","Eastern","Female",454,1534,2792,4122,5388,5319,5396,4809,3956,3504,2366
"Used mobile phone for financial transaction","Never attended","Urban","Ashanti","Male",1077,3653,5783,7374,7953,7695,6841,5179,3498,2920,1756
"Used mobile phone for financial transaction","Never attended","Urban","Ashanti","Female",1503,5455,9338,12728,14737,14455,13708,11777,8487,7225,4896
"Used mobile phone for financial transaction","Never attended","Urban","Western North","Male",212,524,749,1043,998,978,799,628,425,356,202
"Used mobile phone for financial transaction","Never attended","Urban","Western North","Female",247,875,1171,1530,1744,1643,1369,1294,821,597,337
"Used mobile phone for financial transaction","Never attended","Urban","Ahafo","Male",126,365,583,796,898,714,703,563,380,316,174
"Used mobile phone for financial transaction","Never attended","Urban","Ahafo","Female",141,607,911,1197,1254,1250,1185,1063,776,637,423
"Used mobile phone for financial transaction","Never attended","Urban","Bono","Male",398,1119,1467,1835,1858,1845,1550,1388,1024,951,496
"Used mobile phone for financial transaction","Never attended","Urban","Bono","Female",464,1502,2118,2963,3225,3317,3131,3087,2432,2139,1403
"Used mobile phone for financial transaction","Never attended","Urban","Bono East","Male",666,1737,2306,3092,3186,2890,2365,1806,1182,960,582
"Used mobile phone for financial transaction","Never attended","Urban","Bono East","Female",788,2596,3710,4556,4588,3941,3525,2917,2032,1574,955
"Used mobile phone for financial transaction","Never attended","Urban","Oti","Male",309,748,1087,1214,1263,1240,928,716,512,400,246
"Used mobile phone for financial transaction","Never attended","Urban","Oti","Female",326,998,1353,1634,1714,1518,1201,1019,706,599,331
"Used mobile phone for financial transaction","Never attended","Urban","Northern","Male",1347,3673,5450,7777,7579,8254,6432,5382,2935,3047,1823
"Used mobile phone for financial transaction","Never attended","Urban","Northern","Female",1774,7192,10929,13258,11494,10937,7541,5965,3161,3224,1744
"Used mobile phone for financial transaction","Never attended","Urban","Savannah","Male",444,1074,1248,1816,1545,1456,1065,819,516,452,278
"Used mobile phone for financial transaction","Never attended","Urban","Savannah","Female",544,1387,1961,2225,1838,1712,1204,912,625,531,273
"Used mobile phone for financial transaction","Never attended","Urban","North East","Male",465,985,1315,1696,1727,1614,1211,955,523,508,272
"Used mobile phone for financial transaction","Never attended","Urban","North East","Female",554,1409,1891,2455,2068,1938,1436,1110,721,610,338
"Used mobile phone for financial transaction","Never attended","Urban","Upper East","Male",345,785,1270,1774,1877,2011,1787,1495,971,804,431
"Used mobile phone for financial transaction","Never attended","Urban","Upper East","Female",363,1256,2071,3049,3128,3136,2587,2197,1355,1169,641
"Used mobile phone for financial transaction","Never attended","Urban","Upper West","Male",181,516,872,1146,1199,1179,1018,823,500,457,270
"Used mobile phone for financial transaction","Never attended","Urban","Upper West","Female",247,900,1467,1839,1802,1741,1378,1192,783,685,361
"Used mobile phone for financial transaction","Primary","Rural","Ghana","Male",12331,25595,26060,24552,24806,18080,14824,10619,7516,5680,3739
"Used mobile phone for financial transaction","Primary","Rural","Ghana","Female",11003,25449,28405,28736,28659,22114,19429,15206,10578,8399,5209
"Used mobile phone for financial transaction","Primary","Rural","Western","Male",912,2162,2356,2173,2197,1447,1292,845,586,394,244
"Used mobile phone for financial transaction","Primary","Rural","Western","Female",858,2259,2430,2428,2384,1553,1328,996,571,408,202
"Used mobile phone for financial transaction","Primary","Rural","Central","Male",805,1865,1879,1936,2281,1832,1691,1311,1003,848,535
"Used mobile phone for financial transaction","Primary","Rural","Central","Female",916,2174,2837,3195,3613,3027,2986,2285,1614,1297,816
"Used mobile phone for financial transaction","Primary","Rural","Greater Accra","Male",379,1115,1208,1253,1190,940,732,454,293,208,112
"Used mobile phone for financial transaction","Primary","Rural","Greater Accra","Female",370,1099,1555,1627,1652,1143,928,625,352,281,163
"Used mobile phone for financial transaction","Primary","Rural","Volta","Male",616,1690,2110,2310,2322,1679,1412,1153,897,720,508
"Used mobile phone for financial transaction","Primary","Rural","Volta","Female",668,2101,2787,3120,3282,2748,2579,2279,1745,1388,1035
"Used mobile phone for financial transaction","Primary","Rural","Eastern","Male",1146,2690,3016,2982,3584,2903,2507,1878,1343,1015,721
"Used mobile phone for financial transaction","Primary","Rural","Eastern","Female",1071,2906,3703,4209,4919,4079,3769,3011,2207,1774,1136
"Used mobile phone for financial transaction","Primary","Rural","Ashanti","Male",1625,3741,3944,3737,4380,3334,2780,1900,1328,1037,608
"Used mobile phone for financial transaction","Primary","Rural","Ashanti","Female",1624,4211,5221,5542,5729,4679,4062,3160,2259,1803,1013
"Used mobile phone for financial transaction","Primary","Rural","Western North","Male",461,946,1110,1161,1249,928,797,606,438,267,173
"Used mobile phone for financial transaction","Primary","Rural","Western North","Female",482,1175,1324,1344,1285,877,781,572,357,247,110
"Used mobile phone for financial transaction","Primary","Rural","Ahafo","Male",299,541,560,577,668,555,440,314,227,160,132
"Used mobile phone for financial transaction","Primary","Rural","Ahafo","Female",234,593,594,660,680,579,493,365,252,202,121
"Used mobile phone for financial transaction","Primary","Rural","Bono","Male",465,894,792,834,896,612,462,359,258,193,132
"Used mobile phone for financial transaction","Primary","Rural","Bono","Female",439,939,983,1034,943,707,590,507,331,270,145
"Used mobile phone for financial transaction","Primary","Rural","Bono East","Male",763,1503,1332,1179,1053,716,541,385,249,203,113
"Used mobile phone for financial transaction","Primary","Rural","Bono East","Female",662,1414,1236,1095,878,604,492,381,234,209,122
"Used mobile phone for financial transaction","Primary","Rural","Oti","Male",442,971,930,988,902,686,555,407,283,195,135
"Used mobile phone for financial transaction","Primary","Rural","Oti","Female",472,981,898,837,833,624,513,414,303,265,189
"Used mobile phone for financial transaction","Primary","Rural","Northern","Male",696,1139,1207,980,730,498,291,169,88,76,36
"Used mobile phone for financial transaction","Primary","Rural","Northern","Female",475,875,587,465,275,149,92,51,23,11,11
"Used mobile phone for financial transaction","Primary","Rural","Savannah","Male",319,649,516,402,297,181,115,84,44,41,29
"Used mobile phone for financial transaction","Primary","Rural","Savannah","Female",360,604,430,255,179,82,60,41,19,13,3
"Used mobile phone for financial transaction","Primary","Rural","North East","Male",420,578,475,388,327,165,122,83,48,48,21
"Used mobile phone for financial transaction","Primary","Rural","North East","Female",342,482,359,249,154,96,42,25,12,16,10
"Used mobile phone for financial transaction","Primary","Rural","Upper East","Male",1946,3209,3052,2458,1884,1162,807,488,303,192,167
"Used mobile phone for financial transaction","Primary","Rural","Upper East","Female",1264,2274,2340,1987,1384,882,568,376,226,151,78
"Used mobile phone for financial transaction","Primary","Rural","Upper West","Male",1037,1902,1573,1194,846,442,280,183,128,83,73
"Used mobile phone for financial transaction","Primary","Rural","Upper West","Female",766,1362,1121,689,469,285,146,118,73,64,55
"Used mobile phone for financial transaction","Primary","Urban","Ghana","Male",10027,21882,23365,25248,26144,20966,17357,12037,7884,5682,3409
"Used mobile phone for financial transaction","Primary","Urban","Ghana","Female",10514,27411,37165,43580,47010,37628,32759,24086,16161,12344,7242
"Used mobile phone for financial transaction","Primary","Urban","Western","Male",534,1290,1383,1466,1387,1078,927,595,423,289,142
"Used mobile phone for financial transaction","Primary","Urban","Western","Female",571,1465,2009,2146,2430,1955,1739,1230,734,585,328
"Used mobile phone for financial transaction","Primary","Urban","Central","Male",1002,2208,2356,2411,2649,2303,1959,1476,926,719,449
"Used mobile phone for financial transaction","Primary","Urban","Central","Female",1032,2940,3926,4468,5253,4041,3796,2771,1884,1436,893
"Used mobile phone for financial transaction","Primary","Urban","Greater Accra","Male",2121,5201,6110,7158,7487,6128,5119,3424,2167,1376,802
"Used mobile phone for financial transaction","Primary","Urban","Greater Accra","Female",2281,6422,10355,13193,14575,12054,10179,7451,4659,3417,1764
"Used mobile phone for financial transaction","Primary","Urban","Volta","Male",314,925,1129,1265,1380,1066,906,609,445,321,252
"Used mobile phone for financial transaction","Primary","Urban","Volta","Female",423,1291,1953,2483,2409,1935,1791,1450,1052,843,573
"Used mobile phone for financial transaction","Primary","Urban","Eastern","Male",865,1789,1890,2073,2319,1934,1605,1183,809,637,404
"Used mobile phone for financial transaction","Primary","Urban","Eastern","Female",916,2469,3327,4071,4792,4166,3862,2992,2215,1855,1249
"Used mobile phone for financial transaction","Primary","Urban","Ashanti","Male",1635,3701,4060,4530,4814,3930,3339,2373,1589,1119,663
"Used mobile phone for financial transaction","Primary","Urban","Ashanti","Female",1771,4786,6816,8377,9672,7953,6961,5111,3536,2633,1471
"Used mobile phone for financial transaction","Primary","Urban","Western North","Male",171,349,389,409,459,323,266,180,114,94,64
"Used mobile phone for financial transaction","Primary","Urban","Western North","Female",236,494,615,693,653,467,388,268,187,119,63
"Used mobile phone for financial transaction","Primary","Urban","Ahafo","Male",205,395,380,433,409,333,258,171,141,104,50
"Used mobile phone for financial transaction","Primary","Urban","Ahafo","Female",194,509,639,661,698,515,480,375,307,256,144
"Used mobile phone for financial transaction","Primary","Urban","Bono","Male",540,936,838,866,948,696,600,429,298,253,152
"Used mobile phone for financial transaction","Primary","Urban","Bono","Female",537,1232,1414,1686,1737,1253,1117,859,631,474,339
"Used mobile phone for financial transaction","Primary","Urban","Bono East","Male",737,1449,1324,1215,1209,870,661,437,305,206,117
"Used mobile phone for financial transaction","Primary","Urban","Bono East","Female",794,1948,2016,1844,1606,1121,894,611,416,308,167
"Used mobile phone for financial transaction","Primary","Urban","Oti","Male",230,416,413,419,389,283,252,150,124,84,59
"Used mobile phone for financial transaction","Primary","Urban","Oti","Female",306,570,567,548,523,374,284,225,145,122,85
"Used mobile phone for financial transaction","Primary","Urban","Northern","Male",888,1741,1557,1498,1219,949,618,449,248,236,115
"Used mobile phone for financial transaction","Primary","Urban","Northern","Female",677,1599,1683,1504,1040,701,471,267,114,91,63
"Used mobile phone for financial transaction","Primary","Urban","Savannah","Male",163,252,265,199,158,130,87,66,24,31,17
"Used mobile phone for financial transaction","Primary","Urban","Savannah","Female",163,357,315,271,188,106,64,41,23,16,13
"Used mobile phone for financial transaction","Primary","Urban","North East","Male",163,263,218,209,207,154,90,61,30,31,16
"Used mobile phone for financial transaction","Primary","Urban","North East","Female",169,266,273,215,170,95,68,39,18,15,12
"Used mobile phone for financial transaction","Primary","Urban","Upper East","Male",303,599,699,742,732,534,479,304,163,117,68
"Used mobile phone for financial transaction","Primary","Urban","Upper East","Female",259,580,764,941,835,618,476,283,157,122,56
"Used mobile phone for financial transaction","Primary","Urban","Upper West","Male",156,368,354,355,378,255,191,130,78,65,39
"Used mobile phone for financial transaction","Primary","Urban","Upper West","Female",185,483,493,479,429,274,189,113,83,52,22
"Used mobile phone for financial transaction","Secondary","Rural","Ghana","Male",981,2426,2130,2338,2293,5493,10014,7407,5850,4513,4332
"Used mobile phone for financial transaction","Secondary","Rural","Ghana","Female",923,1791,1444,1239,1054,3107,5977,2341,1964,1497,2179
"Used mobile phone for financial transaction","Secondary","Rural","Western","Male",72,208,190,294,258,530,994,614,504,367,339
"Used mobile phone for financial transaction","Secondary","Rural","Western","Female",60,144,159,151,125,247,413,146,123,96,130
"Used mobile phone for financial transaction","Secondary","Rural","Central","Male",80,162,146,167,151,565,1155,720,650,470,514
"Used mobile phone for financial transaction","Secondary","Rural","Central","Female",63,128,103,87,74,358,734,281,225,165,266
"Used mobile phone for financial transaction","Secondary","Rural","Greater Accra","Male",47,119,118,256,273,459,614,576,395,268,228
"Used mobile phone for financial transaction","Secondary","Rural","Greater Accra","Female",32,98,105,192,180,265,396,276,181,124,116
"Used mobile phone for financial transaction","Secondary","Rural","Volta","Male",71,153,153,172,170,431,770,814,572,476,469
"Used mobile phone for financial transaction","Secondary","Rural","Volta","Female",41,117,119,111,107,300,560,318,249,198,311
"Used mobile phone for financial transaction","Secondary","Rural","Eastern","Male",68,155,157,211,198,780,1645,1020,814,744,737
"Used mobile phone for financial transaction","Secondary","Rural","Eastern","Female",53,112,116,120,98,507,1135,347,321,265,448
"Used mobile phone for financial transaction","Secondary","Rural","Ashanti","Male",186,368,331,368,407,1249,2434,1525,1244,975,929
"Used mobile phone for financial transaction","Secondary","Rural","Ashanti","Female",164,323,224,250,209,822,1620,497,470,372,526
"Used mobile phone for financial transaction","Secondary","Rural","Western North","Male",65,216,172,152,149,349,604,415,318,249,187
"Used mobile phone for financial transaction","Secondary","Rural","Western North","Female",63,142,118,78,45,139,263,75,62,37,59
"Used mobile phone for financial transaction","Secondary","Rural","Ahafo","Male",20,71,49,48,63,143,305,207,200,134,140
"Used mobile phone for financial transaction","Secondary","Rural","Ahafo","Female",25,44,27,20,19,72,167,50,58,34,60
"Used mobile phone for financial transaction","Secondary","Rural","Bono","Male",31,78,66,82,89,239,466,422,317,213,203
"Used mobile phone for financial transaction","Secondary","Rural","Bono","Female",24,50,40,43,45,138,260,123,84,63,83
"Used mobile phone for financial transaction","Secondary","Rural","Bono East","Male",39,87,92,78,84,164,276,255,190,124,126
"Used mobile phone for financial transaction","Secondary","Rural","Bono East","Female",22,70,60,24,16,66,136,43,35,29,49
"Used mobile phone for financial transaction","Secondary","Rural","Oti","Male",54,128,89,74,103,161,291,252,243,166,124
"Used mobile phone for financial transaction","Secondary","Rural","Oti","Female",25,70,39,29,29,77,166,69,67,48,53
"Used mobile phone for financial transaction","Secondary","Rural","Northern","Male",93,242,162,131,118,151,114,160,80,86,72
"Used mobile phone for financial transaction","Secondary","Rural","Northern","Female",64,104,95,37,33,27,24,14,12,14,3
"Used mobile phone for financial transaction","Secondary","Rural","Savannah","Male",29,69,64,41,42,52,65,73,49,36,29
"Used mobile phone for financial transaction","Secondary","Rural","Savannah","Female",18,45,25,6,10,12,14,11,9,3,6
"Used mobile phone for financial transaction","Secondary","Rural","North East","Male",35,67,72,51,37,41,43,69,40,22,37
"Used mobile phone for financial transaction","Secondary","Rural","North East","Female",28,59,34,15,7,9,5,3,6,5,5
"Used mobile phone for financial transaction","Secondary","Rural","Upper East","Male",65,185,168,127,92,111,142,176,144,107,125
"Used mobile phone for financial transaction","Secondary","Rural","Upper East","Female",215,191,124,47,36,46,60,57,36,31,34
"Used mobile phone for financial transaction","Secondary","Rural","Upper West","Male",26,118,101,86,59,68,96,109,90,76,73
"Used mobile phone for financial transaction","Secondary","Rural","Upper West","Female",26,94,56,29,21,22,24,31,26,13,30
"Used mobile phone for financial transaction","Secondary","Urban","Ghana","Male",3070,5370,5752,8292,9211,18830,30080,26899,21022,15207,12010
"Used mobile phone for financial transaction","Secondary","Urban","Ghana","Female",3169,4977,5289,6955,6867,14622,24778,16646,13738,10168,9194
"Used mobile phone for financial transaction","Secondary","Urban","Western","Male",275,404,435,594,592,1207,2043,1521,1252,880,655
"Used mobile phone for financial transaction","Secondary","Urban","Western","Female",199,377,374,528,476,917,1640,1058,856,547,537
"Used mobile phone for financial transaction","Secondary","Urban","Central","Male",205,427,406,513,592,1443,2413,1965,1532,1133,957
"Used mobile phone for financial transaction","Secondary","Urban","Central","Female",341,359,373,461,444,1156,2049,1175,971,722,693
"Used mobile phone for financial transaction","Secondary","Urban","Greater Accra","Male",877,1920,2442,3893,4554,8310,12425,11845,9283,6527,4791
"Used mobile phone for financial transaction","Secondary","Urban","Greater Accra","Female",951,1766,2190,3344,3478,6647,10276,8422,6858,5207,4195
"Used mobile phone for financial transaction","Secondary","Urban","Volta","Male",178,202,181,231,260,532,769,787,657,492,454
"Used mobile phone for financial transaction","Secondary","Urban","Volta","Female",153,173,173,196,183,369,674,482,444,313,312
"Used mobile phone for financial transaction","Secondary","Urban","Eastern","Male",307,399,355,509,548,1368,2489,1835,1571,1246,1153
"Used mobile phone for financial transaction","Secondary","Urban","Eastern","Female",317,362,336,416,380,1237,2161,1174,1026,848,821
"Used mobile phone for financial transaction","Secondary","Urban","Ashanti","Male",409,758,823,1216,1458,3706,6444,5244,4048,2983,2446
"Used mobile phone for financial transaction","Secondary","Urban","Ashanti","Female",528,796,803,1054,1118,2942,5625,2926,2459,1747,1836
"Used mobile phone for financial transaction","Secondary","Urban","Western North","Male",119,130,76,114,116,249,390,285,226,161,110
"Used mobile phone for financial transaction","Secondary","Urban","Western North","Female",93,115,87,80,59,122,219,77,91,59,47
"Used mobile phone for financial transaction","Secondary","Urban","Ahafo","Male",39,66,59,84,101,244,446,358,278,213,167
"Used mobile phone for financial transaction","Secondary","Urban","Ahafo","Female",94,78,50,86,71,152,340,176,112,84,124
"Used mobile phone for financial transaction","Secondary","Urban","Bono","Male",91,220,189,266,274,554,1016,960,672,486,413
"Used mobile phone for financial transaction","Secondary","Urban","Bono","Female",94,213,204,248,215,431,840,497,387,288,294
"Used mobile phone for financial transaction","Secondary","Urban","Bono East","Male",74,157,134,158,151,325,547,542,381,253,222
"Used mobile phone for financial transaction","Secondary","Urban","Bono East","Female",88,145,118,117,85,214,386,186,165,109,102
"Used mobile phone for financial transaction","Secondary","Urban","Oti","Male",27,79,71,70,44,113,189,171,133,112,81
"Used mobile phone for financial transaction","Secondary","Urban","Oti","Female",29,53,43,34,42,74,126,64,53,22,49
"Used mobile phone for financial transaction","Secondary","Urban","Northern","Male",301,343,291,345,284,382,433,690,500,419,296
"Used mobile phone for financial transaction","Secondary","Urban","Northern","Female",89,238,264,191,156,164,194,207,151,115,94
"Used mobile phone for financial transaction","Secondary","Urban","Savannah","Male",25,84,101,91,57,77,61,120,82,56,47
"Used mobile phone for financial transaction","Secondary","Urban","Savannah","Female",15,72,87,41,28,38,37,27,18,15,7
"Used mobile phone for financial transaction","Secondary","Urban","North East","Male",27,51,49,44,34,59,80,101,71,42,52
"Used mobile phone for financial transaction","Secondary","Urban","North East","Female",49,51,30,19,26,24,23,24,13,15,10
"Used mobile phone for financial transaction","Secondary","Urban","Upper East","Male",100,79,87,93,92,147,171,257,192,120,93
"Used mobile phone for financial transaction","Secondary","Urban","Upper East","Female",102,107,109,91,55,76,121,72,83,36,43
"Used mobile phone for financial transaction","Secondary","Urban","Upper West","Male",16,51,53,71,54,114,164,218,144,84,73
"Used mobile phone for financial transaction","Secondary","Urban","Upper West","Female",27,72,48,49,51,59,67,79,51,41,30
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Ghana","Male",4513,15598,21319,24015,18087,10184,6146,3529,2719,2568,1713
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Ghana","Female",3203,9644,12285,12671,7853,3338,1523,848,746,838,403
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Western","Male",346,994,1592,1707,1142,700,434,260,214,168,74
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Western","Female",266,598,934,797,448,167,63,45,35,31,12
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Central","Male",545,1424,2154,2506,2026,1045,733,430,303,294,189
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Central","Female",413,939,1313,1518,952,349,190,101,79,75,42
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",443,1879,1825,1886,1597,964,649,397,247,186,142
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",428,1758,1506,1541,1112,584,277,137,112,136,50
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Volta","Male",298,921,1398,1852,1667,1133,762,452,358,357,264
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Volta","Female",225,628,867,1080,700,336,180,90,91,137,80
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Eastern","Male",439,1325,2023,2560,2007,1198,772,423,413,408,275
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Eastern","Female",320,858,1441,1584,1054,479,223,130,118,139,57
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",884,3282,4721,5186,3687,1936,1173,700,509,498,358
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",551,2210,2968,3115,1962,771,345,202,156,178,87
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Western North","Male",244,830,1119,1277,771,425,230,116,100,92,46
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Western North","Female",153,361,513,369,189,64,33,20,24,11,3
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",109,271,427,534,343,158,93,68,60,48,27
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",75,115,212,238,97,37,15,11,10,11,7
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Bono","Male",237,1068,1229,1215,841,458,260,167,130,120,77
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Bono","Female",216,600,668,649,347,127,62,21,22,19,15
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Bono East","Male",115,366,652,758,595,270,171,88,77,67,32
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Bono East","Female",60,168,293,318,160,51,20,12,12,6,4
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Oti","Male",133,320,483,573,495,285,177,94,103,84,67
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Oti","Female",39,139,201,212,113,50,19,20,21,23,10
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Northern","Male",154,659,868,913,655,359,161,85,51,52,25
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Northern","Female",94,424,307,272,164,87,31,17,12,14,9
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Savannah","Male",81,158,284,274,162,91,42,19,12,12,9
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Savannah","Female",16,67,100,69,26,11,6,3,3,1,2
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","North East","Male",48,196,276,272,204,108,31,14,16,13,4
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","North East","Female",18,51,83,47,24,7,4,2,2,3,0
